venue,chain,area,status,total_screens,screen,format,projection,sound,seats,width_ft,height_ft,width_cm,height_cm,dimension_confidence,year,notes,source
INOX Megaplex Phoenix Mall of the Millennium,PVR INOX,Wakad (PCMC),open,14,IMAX,IMAX,IMAX XT Laser 4K 3D 1.90:1,Atmos,262,60,33,1829,1006,verified,2024,Pune's biggest + only laser IMAX,KDCloudy sheet
INOX Megaplex Phoenix Mall of the Millennium,PVR INOX,Wakad (PCMC),open,14,Insignia 1,PLF,4K laser,Atmos,,,,,,unknown,2024,All 14 audis 4K laser + Atmos + Volfoni 3D; 2199 seats total,PVR INOX PR
INOX Megaplex Phoenix Mall of the Millennium,PVR INOX,Wakad (PCMC),open,14,Insignia 2,PLF,4K laser,Atmos,,,,,,unknown,2024,,PVR INOX PR
INOX Megaplex Phoenix Mall of the Millennium,PVR INOX,Wakad (PCMC),open,14,MX4D,4D,4K laser,Atmos,,,,,,unknown,2024,Pune's first MX4D,PVR INOX PR
INOX Megaplex Phoenix Mall of the Millennium,PVR INOX,Wakad (PCMC),open,14,Kiddles,kids,4K laser,Atmos,,,,,,unknown,2024,,PVR INOX PR
INOX Megaplex Phoenix Mall of the Millennium,PVR INOX,Wakad (PCMC),open,14,Premiere x9,standard,4K laser,Atmos,,,,,,unknown,2024,Last-row recliners,PVR INOX PR
PVR ICON The Pavillion Mall,PVR INOX,Senapati Bapat Rd,open,6,all,premium,4K,Atmos,1366 total,,,,,unknown,2017,Screen count conflict: 6 (LBB) vs 9 (blog) — verify,LBB / district.in
PVR Kumar Pacific Mall,PVR INOX,Swargate,open,4,all,standard,,,~941 total,,,,,unknown,2017,,LBB
PVR Phoenix Marketcity,PVR INOX,Viman Nagar,open,9,4DX,4D,,,,,,,,unknown,2018,Pune's first 4DX (added 2018); also Gold Class; venue opened 2011,Justdial / Wikipedia
PVR Grand Highstreet Mall,PVR INOX,Hinjawadi (PCMC),open,6,P[XL],PLF,4K laser,Atmos + RealD 3D,,62,,1890,,estimated,2022,Pune's first P[XL]; ~19m width is flagship-format spec not Pune-measured; 1244 seats total,Business Standard / ANI
PVR Director's Cut KOPA Mall,PVR INOX,Koregaon Park,open,7,ICE Theatre,ICE (LED side panels),4K laser,Atmos,,,,,,unknown,2024,5 Director's Cut luxury audis + 1 Premiere; 751 seats total,Punekar News
INOX Bund Garden,PVR INOX,Bund Garden Rd,open,6,Insignia x2,PLF recliner,,,~32 each,,,,,unknown,2002,INOX's first multiplex in India (2002); Insignia added 2015; screen count 4-6 conflicting,Newswire PR
INOX Jai Ganesh Vision Mall,PVR INOX,Akurdi (PCMC),open,4,all,standard,,,~372,,,,,unknown,,Ex-Fame Cinemas; screen count 3-4 conflicting,Excellent Publicity
INOX Elpro City Square,PVR INOX,Chinchwad (PCMC),open,5,all,standard,,Atmos,1139 total,,,,,unknown,2020,Volfoni SmartCrystal Diamond 3D,cityairnews
INOX Royale Heritage Mall,PVR INOX,NIBM Ext Mohammadwadi,open,4,all,standard,2K,Dolby Digital,662 total,,,,,unknown,2017,,Punekar News
Cinepolis Nexus Westend Mall,Cinepolis,Aundh,open,8,IMAX,IMAX,IMAX Dual Xenon 2K 3D 1.90:1,IMAX 5-ch,283,55,31,1676,945,verified,2016,Oldest IMAX tech in city; repeated 'LieMAX' complaints — worst-value IMAX candidate,KDCloudy sheet
Cinepolis Nexus Westend Mall,Cinepolis,Aundh,open,8,others x7,standard,,Atmos (1 audi) + RealD 3D,1369 total,,,,,unknown,2016,,Business Standard
Cinepolis Seasons Mall,Cinepolis,Magarpatta/Hadapsar,open,15,VIP x3,luxury,,,~2000 total,,,,,unknown,2013,India's largest megaplex by screen count (12+3 VIP); 4DX claim conflicts — likely no 4DX,district.in / Cinema Treasures
MovieMax Amanora Town Centre,MovieMax,Hadapsar,open,8,all,standard,2K,,1865 total,,,,,unknown,2024,Ex-INOX Amanora (8 screens) renovated + rebranded Apr 2024,equitybulls / district.in
MovieMax Gold Mariplex Mall,MovieMax,Kalyani Nagar,open,3,all,premium Gold,2K,Dolby 7.1,,,,,,unknown,2024,Ex-Gold Adlabs/BIG/Carnival site; relaunched Oct 2024,Celluloid Junkie
Miraj Cinemas Spine City Mall,Miraj,Moshi (PCMC),open,4,S1-S4,standard,,Atmos (all 4),883 (179/243/241/220),,,,,unknown,2023,Miraj's first Pune property; 43 recliners + 36 sofas,Celluloid Junkie
Rajhans Cinemas 93 Avenue Mall,Rajhans,Fatima Nagar,open,4,all,standard,2K,Atmos,1017 (267/275/172/303),,,,,unknown,2022,,LinkedIn PR / district.in
Connplex Luxuriance CINEBAR Tribeca Highstreet,Connplex,NIBM/Undri,open,4,all,boutique luxury,,,225 total,,,,,unknown,2026,All-recliner mini-screens,Hospitality News
